,systematic_number,title_de,token_count,outlier_tfidf,outlier_w2v,outlier_short,outlier_score,exclude
169,257.500,Gesetz über die Einführung der Schweizerischen Jugendstrafprozessordnung,266,False,True,False,1,False
170,257.820,Interkantonale bzw. interbehördliche Vereinbarung über den Datenaustausch zum Betrieb von Lage- und Analysesystemen im Bereich der seriellen Kriminalität,506,False,False,False,0,False
171,257.900,Einführungsgesetz zum Bundesgesetz über die Hilfe an Opfer von Straftaten,46,False,False,False,0,False
172,257.920,Vertrag über die Opferberatungsstellen beider Basel,135,False,False,False,0,False
173,258.210,Verordnung über den Justizvollzug,1399,False,False,False,0,False
174,258.300,Konkordat der Kantone der Nordwest- und Innerschweiz über den Vollzug von Strafen und Massnahmen,572,False,False,False,0,False
175,258.450,Verordnung über die finanzielle Beteiligung von verurteilten Personen und Eltern an jugendstrafrechtlichen Sanktionen,99,False,True,False,1,False
176,122.200,Gesetz über Niederlassung und Aufenthalt,357,False,False,False,0,False
177,122.210,Verordnung über Niederlassung und Aufenthalt,267,False,False,False,0,False
178,122.300,Gesetz über den Vollzug der Zwangsmassnahmen im Ausländerrecht,217,False,False,False,0,False
179,123.200,Verordnung über den Vollzug des Bundesgesetzes zur Wahrung der inneren Sicherheit,426,False,False,False,0,False
180,132.100,Gesetz über Wahlen und Abstimmungen,1153,False,False,False,0,False
181,132.150,Verordnung über den Testbetrieb für die elektronische Stimmabgabe,258,False,False,False,0,False
182,132.200,Grossratsbeschluss betreffend Zahl der den Wahlkreisen der Stadt und den Gemeinden Bettingen und Riehen im Grossen Rat zustehende Sitze,29,False,False,False,0,False
183,152.250,Reglement über die Teilnahme an Abstimmungen in Abwesenheit,129,False,False,False,0,False
184,152.400,Reglement über Organisation und Aufgaben des Parlamentsdienstes,73,False,False,False,0,False
185,152.500,Reglement betreffend Akkreditierung der Medienschaffenden und Zutritt zum Grossen Rat,162,False,False,False,0,False
186,152.900,Gesetz betreffend die Beauftragte/den Beauftragten für das Beschwerdewesen (Ombudsfrau / Ombudsmann) des Kantons Basel-Stadt,389,False,False,False,0,False
187,153.100,Gesetz betreffend die Organisation des Regierungsrates und der Verwaltung des Kantons Basel-Stadt,723,True,False,False,1,False
